age,id,type,listener,response,f_fittype,f_param1,f_param2,d_fittype,d_param1,d_param2,sp_fittype,sp_param1,sp_param2,t_fittype,t_param1,t_param2
82,274,HUM,L1,1,3,1.50252791394343,NA,3,1.69634287966933,NA,1,-0.0702061678798181,0.589837225140321,3,4.86000000000058,1.65104685331559
183,340,HUM,L1,1,3,0.990533682267124,NA,3,-0.899434724857194,0.737324965135472,3,-0.0313031599582382,0.687969254726613,2,3.07000000000062,1.75365536048802
183,340,HUM,L3,1,2,1.18007626137479,NA,2,-0.730500325998821,0.719792441596017,2,-0.0888119184268093,0.629579048252517,2,1.77000000000407,1.5485634928765
95,530,HUM,L2,1,3,2.11550034616888,NA,3,1.24835386187509,NA,3,-0.464397629439555,0.975833404812826,2,1.63,1.45270599659105
82,274,LENA,NA,1,3,1.26413019163364,NA,3,1.51132619188222,NA,2,-0.0637865494134576,0.677524111568029,4,1,1.57270972236863
183,340,LENA,NA,1,3,1.03698129043729,NA,2,-0.658870397381395,0.934162607534137,2,0.0438362597898676,0.768549705923488,4,1.04000000000087,1.57396639768925
95,530,LENA,NA,1,3,1.48961987255433,NA,3,1.39812217038901,NA,2,-0.181849901725105,0.775465518597602,4,1.01000000000204,1.55356123517952
82,274,HUM,L1,0,3,1.32891327215945,NA,3,1.35816817867439,NA,2,-0.0931196736826006,0.77930539917723,2,1.02000000000044,1.33490165748768
183,340,HUM,L1,0,3,1.00000205785594,NA,3,1.36460076218654,NA,2,0.0807815422455903,0.777487693104071,2,1.0099999999984,1.45610848122352
183,340,HUM,L3,0,3,0.987842961528952,NA,3,1.38519821957335,NA,2,0.0909436263857425,0.764946630471884,2,1.0099999999984,1.46955366742361
95,530,HUM,L2,0,3,1.54161151697663,NA,3,1.43508696725633,NA,2,-0.247959460020164,0.854027986183932,2,1.0300000000002,1.4528646982852
82,274,LENA,NA,0,3,1.27150529235303,NA,3,1.3325338650204,NA,2,-0.0506042917800345,0.768338113587578,4,1.0099999999984,1.48661685379827
183,340,LENA,NA,0,3,0.971895249283842,NA,3,1.40780291354758,NA,2,0.0912635619807035,0.763114196943798,4,1.0099999999984,1.53503818544376
95,530,LENA,NA,0,3,1.35406821497436,NA,3,1.4614982380801,NA,2,-0.155772735456444,0.81240748285187,4,1.00999999999476,1.50411985494307
