"voc_type","measure","datatype","age_effect","age_pval","freq_effect","freq_pval","amp_effect","amp_pval","freqst_effect","freqst_pval","ampst_effect","ampst_pval","timst_effect","timst_pval"
"advoc","pitch and amp","HUM","-0.036590659596091","0.829155158662955","-0.324510243404994","0.0647510328864653","0.0953667932500107","0.582854058807137","-","-","-","-","-","-"
"advoc","pitch and amp","LENA subset","-0.226539820562056","0.0169463015791792","0.211164332184118","1.02116860467662e-05","0.464392760003184","3.46491766949605e-22","-","-","-","-","-","-"
"advoc","stepsizes","HUM","-0.0401520807860782","0.819362218528948","-0.318850067161143","0.0735743287105491","0.0535601656357534","0.763136590729069","-0.0867371672228741","0.626315913353524","-0.261080170174652","0.185212977605776","-0.299673901271987","0.63950128919478"
"advoc","stepsizes","LENA subset","-0.220981881316779","0.0148019942054963","0.229756977202733","2.96643197010351e-06","0.436032435926736","3.04693408341451e-19","-0.0668803140118939","0.197938401225893","0.0296571488077741","0.523286727082174","-0.729602463913402","0.0037050072204522"
"advoc","stepsizes","LENA all","-0.0123544036961709","0.0810660564609612","0.240286727835189","1.34097817434693e-243","0.444942908609461","0","-0.0701822604695295","2.36907365911475e-21","0.0952699226528907","3.04186955394242e-49","-0.0342362393743342","0.0200101257416455"
"advoc","pitch and amp","LENA all","-0.0138227222245456","0.0495094498016921","0.2330405414662","1.38863677286819e-246","0.446053543627448","0","-","-","-","-","-","-"
"chvoc","pitch and amp","HUM","0.264388097381839","0.0746803193459143","0.0297372482839595","0.847021663012399","-0.133901017455615","0.365788091591874","-","-","-","-","-","-"
"chvoc","pitch and amp","LENA subset","-0.151398586069431","0.00359763607083235","-0.0918257273892063","0.0640888654947883","0.112293638647552","0.0272960813103051","-","-","-","-","-","-"
"chvoc","stepsizes","HUM","0.288156035498814","0.0525362628680903","0.0214299311388385","0.874820199740219","-0.0243926826312588","0.874960996968266","0.262572388976097","0.031284313796695","0.13443305512247","0.309892591260454","0.0649350408647972","0.443028914857701"
"chvoc","stepsizes","LENA subset","-0.156222659485055","0.00610590254856747","-0.0974618039479184","0.0581267912890419","0.115639986707779","0.0286870808531767","-0.0743799465751017","0.15419664717248","0.0845838314035742","0.0920130937806653","-0.165856532072177","0.202848959790084"
"chvoc","stepsizes","LENA all","-0.158712117266747","1.48125229342777e-90","-0.323143500734218","0","0.17861668242073","1.14904748561042e-108","-0.0233946879399781","0.00197617448024979","0.0291607116770717","0.000187025008585025","-0.0722426079749512","2.30591932911988e-09"
"chvoc","pitch and amp","LENA all","-0.157421296591054","2.52115187866637e-90","-0.317337165228195","0","0.175250094292461","1.89046707869565e-116","-","-","-","-","-","-"
